FID	IID	TraitID	TraitName	Pop	PGS	Population	SuperPop
NA20512	NA20512	ieu-b-4815	Body	EUR	34.0824	TSI	EUR
NA20513	NA20513	ieu-b-4815	Body	EUR	77.7052	TSI	EUR
NA20514	NA20514	ieu-b-4815	Body	EUR	661.332	TSI	EUR
NA20515	NA20515	ieu-b-4815	Body	EUR	1322.2	TSI	EUR
NA20516	NA20516	ieu-b-4815	Body	EUR	1209.9	TSI	EUR
NA20517	NA20517	ieu-b-4815	Body	EUR	-373.839	TSI	EUR
NA20518	NA20518	ieu-b-4815	Body	EUR	366.526	TSI	EUR
NA20519	NA20519	ieu-b-4815	Body	EUR	393.687	TSI	EUR
NA20520	NA20520	ieu-b-4815	Body	EUR	230.764	TSI	EUR
NA20521	NA20521	ieu-b-4815	Body	EUR	141.863	TSI	EUR
NA20522	NA20522	ieu-b-4815	Body	EUR	609.241	TSI	EUR
NA20524	NA20524	ieu-b-4815	Body	EUR	-463.932	TSI	EUR
NA20525	NA20525	ieu-b-4815	Body	EUR	7.76047	TSI	EUR
NA20527	NA20527	ieu-b-4815	Body	EUR	1407.2	TSI	EUR
NA20528	NA20528	ieu-b-4815	Body	EUR	1073.54	TSI	EUR
NA20529	NA20529	ieu-b-4815	Body	EUR	790.381	TSI	EUR
NA20530	NA20530	ieu-b-4815	Body	EUR	609.256	TSI	EUR
NA20531	NA20531	ieu-b-4815	Body	EUR	-144.346	TSI	EUR
NA20532	NA20532	ieu-b-4815	Body	EUR	-197.603	TSI	EUR
NA20533	NA20533	ieu-b-4815	Body	EUR	-904.541	TSI	EUR
NA20534	NA20534	ieu-b-4815	Body	EUR	-499.885	TSI	EUR
NA20535	NA20535	ieu-b-4815	Body	EUR	1087.63	TSI	EUR
NA20536	NA20536	ieu-b-4815	Body	EUR	505.038	TSI	EUR
NA20538	NA20538	ieu-b-4815	Body	EUR	461.116	TSI	EUR
NA20539	NA20539	ieu-b-4815	Body	EUR	177.246	TSI	EUR
NA20540	NA20540	ieu-b-4815	Body	EUR	1203.7	TSI	EUR
NA20541	NA20541	ieu-b-4815	Body	EUR	1204.81	TSI	EUR
NA20542	NA20542	ieu-b-4815	Body	EUR	-805.722	TSI	EUR
NA20543	NA20543	ieu-b-4815	Body	EUR	463.733	TSI	EUR
NA20544	NA20544	ieu-b-4815	Body	EUR	513.349	TSI	EUR
NA20581	NA20581	ieu-b-4815	Body	EUR	-256.032	TSI	EUR
NA20582	NA20582	ieu-b-4815	Body	EUR	305.62	TSI	EUR
NA20585	NA20585	ieu-b-4815	Body	EUR	-36.0814	TSI	EUR
NA20586	NA20586	ieu-b-4815	Body	EUR	934.956	TSI	EUR
NA20587	NA20587	ieu-b-4815	Body	EUR	1217.18	TSI	EUR
NA20588	NA20588	ieu-b-4815	Body	EUR	549.44	TSI	EUR
NA20589	NA20589	ieu-b-4815	Body	EUR	534.601	TSI	EUR
NA20752	NA20752	ieu-b-4815	Body	EUR	2.89874	TSI	EUR
NA20753	NA20753	ieu-b-4815	Body	EUR	605.978	TSI	EUR
NA20754	NA20754	ieu-b-4815	Body	EUR	550.182	TSI	EUR
NA20755	NA20755	ieu-b-4815	Body	EUR	592.38	TSI	EUR
NA20756	NA20756	ieu-b-4815	Body	EUR	880.03	TSI	EUR
NA20757	NA20757	ieu-b-4815	Body	EUR	-169.001	TSI	EUR
NA20758	NA20758	ieu-b-4815	Body	EUR	-444.366	TSI	EUR
NA20759	NA20759	ieu-b-4815	Body	EUR	10.5006	TSI	EUR
NA20760	NA20760	ieu-b-4815	Body	EUR	815.596	TSI	EUR
NA20761	NA20761	ieu-b-4815	Body	EUR	588.797	TSI	EUR
NA20762	NA20762	ieu-b-4815	Body	EUR	402.558	TSI	EUR
NA20763	NA20763	ieu-b-4815	Body	EUR	703.675	TSI	EUR
NA20764	NA20764	ieu-b-4815	Body	EUR	188.594	TSI	EUR
NA20765	NA20765	ieu-b-4815	Body	EUR	679.492	TSI	EUR
NA20766	NA20766	ieu-b-4815	Body	EUR	211.471	TSI	EUR
NA20767	NA20767	ieu-b-4815	Body	EUR	69.8063	TSI	EUR
NA20768	NA20768	ieu-b-4815	Body	EUR	809.756	TSI	EUR
NA20769	NA20769	ieu-b-4815	Body	EUR	-176.302	TSI	EUR
NA20770	NA20770	ieu-b-4815	Body	EUR	748.772	TSI	EUR
NA20771	NA20771	ieu-b-4815	Body	EUR	-475.947	TSI	EUR
NA20772	NA20772	ieu-b-4815	Body	EUR	464.044	TSI	EUR
NA20773	NA20773	ieu-b-4815	Body	EUR	773.213	TSI	EUR
NA20774	NA20774	ieu-b-4815	Body	EUR	330.361	TSI	EUR
NA20775	NA20775	ieu-b-4815	Body	EUR	323.274	TSI	EUR
NA20778	NA20778	ieu-b-4815	Body	EUR	316.372	TSI	EUR
NA20783	NA20783	ieu-b-4815	Body	EUR	2311.75	TSI	EUR
NA20785	NA20785	ieu-b-4815	Body	EUR	1173.86	TSI	EUR
NA20786	NA20786	ieu-b-4815	Body	EUR	187.146	TSI	EUR
NA20787	NA20787	ieu-b-4815	Body	EUR	973.292	TSI	EUR
NA20790	NA20790	ieu-b-4815	Body	EUR	1368.35	TSI	EUR
NA20792	NA20792	ieu-b-4815	Body	EUR	878.834	TSI	EUR
NA20795	NA20795	ieu-b-4815	Body	EUR	1173.32	TSI	EUR
NA20796	NA20796	ieu-b-4815	Body	EUR	229.643	TSI	EUR
NA20797	NA20797	ieu-b-4815	Body	EUR	-18.3554	TSI	EUR
NA20798	NA20798	ieu-b-4815	Body	EUR	693.537	TSI	EUR
NA20799	NA20799	ieu-b-4815	Body	EUR	1120.96	TSI	EUR
NA20800	NA20800	ieu-b-4815	Body	EUR	510.66	TSI	EUR
NA20801	NA20801	ieu-b-4815	Body	EUR	-389.175	TSI	EUR
NA20802	NA20802	ieu-b-4815	Body	EUR	227.907	TSI	EUR
NA20803	NA20803	ieu-b-4815	Body	EUR	418.439	TSI	EUR
NA20804	NA20804	ieu-b-4815	Body	EUR	658.349	TSI	EUR
NA20805	NA20805	ieu-b-4815	Body	EUR	294.478	TSI	EUR
NA20806	NA20806	ieu-b-4815	Body	EUR	695.137	TSI	EUR
NA20807	NA20807	ieu-b-4815	Body	EUR	107.06	TSI	EUR
NA20808	NA20808	ieu-b-4815	Body	EUR	612.631	TSI	EUR
NA20809	NA20809	ieu-b-4815	Body	EUR	437.328	TSI	EUR
NA20810	NA20810	ieu-b-4815	Body	EUR	127.447	TSI	EUR
NA20811	NA20811	ieu-b-4815	Body	EUR	509.831	TSI	EUR
NA20812	NA20812	ieu-b-4815	Body	EUR	632.825	TSI	EUR
NA20813	NA20813	ieu-b-4815	Body	EUR	931.288	TSI	EUR
NA20814	NA20814	ieu-b-4815	Body	EUR	232.691	TSI	EUR
NA20815	NA20815	ieu-b-4815	Body	EUR	722.643	TSI	EUR
NA20818	NA20818	ieu-b-4815	Body	EUR	-21.455	TSI	EUR
NA20819	NA20819	ieu-b-4815	Body	EUR	134.549	TSI	EUR
NA20821	NA20821	ieu-b-4815	Body	EUR	-1045.11	TSI	EUR
NA20822	NA20822	ieu-b-4815	Body	EUR	29.7845	TSI	EUR
NA20826	NA20826	ieu-b-4815	Body	EUR	524.175	TSI	EUR
NA20827	NA20827	ieu-b-4815	Body	EUR	471.836	TSI	EUR
NA20828	NA20828	ieu-b-4815	Body	EUR	109.035	TSI	EUR
NA20832	NA20832	ieu-b-4815	Body	EUR	1019.19	TSI	EUR
HG01583	HG01583	ieu-b-4815	Body	SAS	-21.0029	PJL	SAS
HG01586	HG01586	ieu-b-4815	Body	SAS	560.752	PJL	SAS
HG01589	HG01589	ieu-b-4815	Body	SAS	-506.499	PJL	SAS
HG01593	HG01593	ieu-b-4815	Body	SAS	718.49	PJL	SAS
HG02490	HG02490	ieu-b-4815	Body	SAS	1137.22	PJL	SAS
HG02491	HG02491	ieu-b-4815	Body	SAS	424.397	PJL	SAS
HG02493	HG02493	ieu-b-4815	Body	SAS	451.52	PJL	SAS
HG02494	HG02494	ieu-b-4815	Body	SAS	627.307	PJL	SAS
HG02597	HG02597	ieu-b-4815	Body	SAS	-2.98987	PJL	SAS
HG02600	HG02600	ieu-b-4815	Body	SAS	817.92	PJL	SAS
HG02601	HG02601	ieu-b-4815	Body	SAS	965.565	PJL	SAS
HG02603	HG02603	ieu-b-4815	Body	SAS	1289.63	PJL	SAS
HG02604	HG02604	ieu-b-4815	Body	SAS	929.969	PJL	SAS
HG02648	HG02648	ieu-b-4815	Body	SAS	-47.8003	PJL	SAS
HG02649	HG02649	ieu-b-4815	Body	SAS	90.4295	PJL	SAS
HG02651	HG02651	ieu-b-4815	Body	SAS	441.621	PJL	SAS
HG02652	HG02652	ieu-b-4815	Body	SAS	1157.36	PJL	SAS
HG02654	HG02654	ieu-b-4815	Body	SAS	117.048	PJL	SAS
HG02655	HG02655	ieu-b-4815	Body	SAS	615.777	PJL	SAS
HG02657	HG02657	ieu-b-4815	Body	SAS	413.076	PJL	SAS
HG02658	HG02658	ieu-b-4815	Body	SAS	670.878	PJL	SAS
HG02660	HG02660	ieu-b-4815	Body	SAS	448.96	PJL	SAS
HG02661	HG02661	ieu-b-4815	Body	SAS	623.397	PJL	SAS
HG02681	HG02681	ieu-b-4815	Body	SAS	330.268	PJL	SAS
HG02682	HG02682	ieu-b-4815	Body	SAS	840.945	PJL	SAS
HG02684	HG02684	ieu-b-4815	Body	SAS	-395.024	PJL	SAS
HG02685	HG02685	ieu-b-4815	Body	SAS	725.718	PJL	SAS
HG02687	HG02687	ieu-b-4815	Body	SAS	551.576	PJL	SAS
HG02688	HG02688	ieu-b-4815	Body	SAS	1424.87	PJL	SAS
HG02690	HG02690	ieu-b-4815	Body	SAS	-379.965	PJL	SAS
HG02691	HG02691	ieu-b-4815	Body	SAS	333.649	PJL	SAS
HG02694	HG02694	ieu-b-4815	Body	SAS	649.01	PJL	SAS
HG02696	HG02696	ieu-b-4815	Body	SAS	16.0834	PJL	SAS
HG02697	HG02697	ieu-b-4815	Body	SAS	193.971	PJL	SAS
HG02699	HG02699	ieu-b-4815	Body	SAS	305.912	PJL	SAS
HG02700	HG02700	ieu-b-4815	Body	SAS	-366.153	PJL	SAS
HG02724	HG02724	ieu-b-4815	Body	SAS	505.499	PJL	SAS
HG02725	HG02725	ieu-b-4815	Body	SAS	1000.71	PJL	SAS
HG02727	HG02727	ieu-b-4815	Body	SAS	736.814	PJL	SAS
HG02728	HG02728	ieu-b-4815	Body	SAS	848.801	PJL	SAS
HG02731	HG02731	ieu-b-4815	Body	SAS	559.067	PJL	SAS
HG02733	HG02733	ieu-b-4815	Body	SAS	-204.319	PJL	SAS
HG02734	HG02734	ieu-b-4815	Body	SAS	-87.4759	PJL	SAS
HG02736	HG02736	ieu-b-4815	Body	SAS	606.527	PJL	SAS
HG02737	HG02737	ieu-b-4815	Body	SAS	73.6679	PJL	SAS
HG02774	HG02774	ieu-b-4815	Body	SAS	688.223	PJL	SAS
HG02775	HG02775	ieu-b-4815	Body	SAS	1195.79	PJL	SAS
HG02778	HG02778	ieu-b-4815	Body	SAS	1605.46	PJL	SAS
HG02780	HG02780	ieu-b-4815	Body	SAS	493.74	PJL	SAS
HG02783	HG02783	ieu-b-4815	Body	SAS	225.187	PJL	SAS
HG02784	HG02784	ieu-b-4815	Body	SAS	1367.8	PJL	SAS
HG02786	HG02786	ieu-b-4815	Body	SAS	914.475	PJL	SAS
HG02787	HG02787	ieu-b-4815	Body	SAS	981.94	PJL	SAS
HG02789	HG02789	ieu-b-4815	Body	SAS	447.369	PJL	SAS
HG02790	HG02790	ieu-b-4815	Body	SAS	254.482	PJL	SAS
HG02792	HG02792	ieu-b-4815	Body	SAS	293.273	PJL	SAS
HG02793	HG02793	ieu-b-4815	Body	SAS	-80.3017	PJL	SAS
HG03006	HG03006	ieu-b-4815	Body	SAS	453.713	BEB	SAS
HG03007	HG03007	ieu-b-4815	Body	SAS	-567.093	BEB	SAS
HG03009	HG03009	ieu-b-4815	Body	SAS	1102.34	BEB	SAS
HG03012	HG03012	ieu-b-4815	Body	SAS	-143.532	BEB	SAS
HG03015	HG03015	ieu-b-4815	Body	SAS	236.34	PJL	SAS
HG03016	HG03016	ieu-b-4815	Body	SAS	652.706	PJL	SAS
HG03018	HG03018	ieu-b-4815	Body	SAS	1290.27	PJL	SAS
HG03019	HG03019	ieu-b-4815	Body	SAS	301.386	PJL	SAS
HG03021	HG03021	ieu-b-4815	Body	SAS	489.313	PJL	SAS
HG03022	HG03022	ieu-b-4815	Body	SAS	918.802	PJL	SAS
HG03228	HG03228	ieu-b-4815	Body	SAS	-183.61	PJL	SAS
HG03229	HG03229	ieu-b-4815	Body	SAS	796.169	PJL	SAS
HG03234	HG03234	ieu-b-4815	Body	SAS	156.625	PJL	SAS
HG03235	HG03235	ieu-b-4815	Body	SAS	558.78	PJL	SAS
HG03237	HG03237	ieu-b-4815	Body	SAS	396.764	PJL	SAS
HG03238	HG03238	ieu-b-4815	Body	SAS	1249.07	PJL	SAS
HG03488	HG03488	ieu-b-4815	Body	SAS	523.313	PJL	SAS
HG03490	HG03490	ieu-b-4815	Body	SAS	374.724	PJL	SAS
HG03491	HG03491	ieu-b-4815	Body	SAS	1022.53	PJL	SAS
HG03585	HG03585	ieu-b-4815	Body	SAS	1158.77	BEB	SAS
HG03589	HG03589	ieu-b-4815	Body	SAS	61.5692	BEB	SAS
HG03593	HG03593	ieu-b-4815	Body	SAS	298.375	BEB	SAS
HG03594	HG03594	ieu-b-4815	Body	SAS	1721.27	BEB	SAS
HG03595	HG03595	ieu-b-4815	Body	SAS	-39.9061	BEB	SAS
HG03598	HG03598	ieu-b-4815	Body	SAS	301.222	BEB	SAS
HG03600	HG03600	ieu-b-4815	Body	SAS	519.341	BEB	SAS
HG03603	HG03603	ieu-b-4815	Body	SAS	426.194	BEB	SAS
HG03604	HG03604	ieu-b-4815	Body	SAS	467.315	BEB	SAS
HG03607	HG03607	ieu-b-4815	Body	SAS	-72.7431	BEB	SAS
HG03611	HG03611	ieu-b-4815	Body	SAS	1562.11	BEB	SAS
HG03615	HG03615	ieu-b-4815	Body	SAS	57.2278	BEB	SAS
HG03616	HG03616	ieu-b-4815	Body	SAS	1418.23	BEB	SAS
HG03619	HG03619	ieu-b-4815	Body	SAS	864.678	PJL	SAS
HG03624	HG03624	ieu-b-4815	Body	SAS	1093.15	PJL	SAS
HG03625	HG03625	ieu-b-4815	Body	SAS	-168.378	PJL	SAS
HG03629	HG03629	ieu-b-4815	Body	SAS	429.094	PJL	SAS
HG03631	HG03631	ieu-b-4815	Body	SAS	867.133	PJL	SAS
HG03634	HG03634	ieu-b-4815	Body	SAS	471.263	PJL	SAS
HG03636	HG03636	ieu-b-4815	Body	SAS	683.627	PJL	SAS
HG03640	HG03640	ieu-b-4815	Body	SAS	709.855	PJL	SAS
HG03642	HG03642	ieu-b-4815	Body	SAS	1176.56	STU	SAS
HG03643	HG03643	ieu-b-4815	Body	SAS	829.544	STU	SAS
HG03644	HG03644	ieu-b-4815	Body	SAS	1141.98	STU	SAS
HG03645	HG03645	ieu-b-4815	Body	SAS	1535.07	STU	SAS
HG03646	HG03646	ieu-b-4815	Body	SAS	1835.91	STU	SAS
HG03649	HG03649	ieu-b-4815	Body	SAS	228.443	PJL	SAS
HG03652	HG03652	ieu-b-4815	Body	SAS	313.498	PJL	SAS
HG03653	HG03653	ieu-b-4815	Body	SAS	310.689	PJL	SAS
HG03660	HG03660	ieu-b-4815	Body	SAS	172.649	PJL	SAS
HG03663	HG03663	ieu-b-4815	Body	SAS	1287.7	PJL	SAS
HG03667	HG03667	ieu-b-4815	Body	SAS	402.139	PJL	SAS
HG03668	HG03668	ieu-b-4815	Body	SAS	718.809	PJL	SAS
HG03672	HG03672	ieu-b-4815	Body	SAS	2032.05	STU	SAS
HG03673	HG03673	ieu-b-4815	Body	SAS	634.728	STU	SAS
HG03679	HG03679	ieu-b-4815	Body	SAS	-664.986	STU	SAS
HG03680	HG03680	ieu-b-4815	Body	SAS	591.115	STU	SAS
HG03681	HG03681	ieu-b-4815	Body	SAS	241.893	STU	SAS
HG03684	HG03684	ieu-b-4815	Body	SAS	1015.04	STU	SAS
HG03685	HG03685	ieu-b-4815	Body	SAS	695.242	STU	SAS
HG03686	HG03686	ieu-b-4815	Body	SAS	510.69	STU	SAS
HG03687	HG03687	ieu-b-4815	Body	SAS	49.6358	STU	SAS
HG03689	HG03689	ieu-b-4815	Body	SAS	874.233	STU	SAS
HG03690	HG03690	ieu-b-4815	Body	SAS	-927.454	STU	SAS
HG03691	HG03691	ieu-b-4815	Body	SAS	541.37	STU	SAS
HG03692	HG03692	ieu-b-4815	Body	SAS	370.741	STU	SAS
HG03693	HG03693	ieu-b-4815	Body	SAS	1157.78	STU	SAS
HG03694	HG03694	ieu-b-4815	Body	SAS	1220.62	STU	SAS
HG03695	HG03695	ieu-b-4815	Body	SAS	475.312	STU	SAS
HG03696	HG03696	ieu-b-4815	Body	SAS	39.8393	STU	SAS
HG03697	HG03697	ieu-b-4815	Body	SAS	604.01	STU	SAS
HG03698	HG03698	ieu-b-4815	Body	SAS	108.986	STU	SAS
HG03702	HG03702	ieu-b-4815	Body	SAS	1214.16	PJL	SAS
HG03703	HG03703	ieu-b-4815	Body	SAS	1202.22	PJL	SAS
HG03705	HG03705	ieu-b-4815	Body	SAS	361.129	PJL	SAS
HG03706	HG03706	ieu-b-4815	Body	SAS	425.631	PJL	SAS
HG03708	HG03708	ieu-b-4815	Body	SAS	-462.958	PJL	SAS
HG03709	HG03709	ieu-b-4815	Body	SAS	172.46	PJL	SAS
HG03711	HG03711	ieu-b-4815	Body	SAS	470.509	STU	SAS
HG03713	HG03713	ieu-b-4815	Body	SAS	554.683	ITU	SAS
HG03714	HG03714	ieu-b-4815	Body	SAS	-3.20124	ITU	SAS
HG03716	HG03716	ieu-b-4815	Body	SAS	563.917	ITU	SAS
HG03717	HG03717	ieu-b-4815	Body	SAS	1058.14	ITU	SAS
HG03718	HG03718	ieu-b-4815	Body	SAS	1165.42	ITU	SAS
HG03720	HG03720	ieu-b-4815	Body	SAS	-782.197	ITU	SAS
HG03722	HG03722	ieu-b-4815	Body	SAS	284.154	ITU	SAS
HG03727	HG03727	ieu-b-4815	Body	SAS	695.982	ITU	SAS
HG03729	HG03729	ieu-b-4815	Body	SAS	395.92	ITU	SAS
HG03730	HG03730	ieu-b-4815	Body	SAS	218.542	ITU	SAS
HG03731	HG03731	ieu-b-4815	Body	SAS	327.539	ITU	SAS
HG03733	HG03733	ieu-b-4815	Body	SAS	326.898	STU	SAS
HG03736	HG03736	ieu-b-4815	Body	SAS	565.481	STU	SAS
HG03738	HG03738	ieu-b-4815	Body	SAS	826.576	STU	SAS
HG03740	HG03740	ieu-b-4815	Body	SAS	614.435	STU	SAS
HG03741	HG03741	ieu-b-4815	Body	SAS	1078.25	STU	SAS
HG03742	HG03742	ieu-b-4815	Body	SAS	548.311	ITU	SAS
HG03743	HG03743	ieu-b-4815	Body	SAS	1149.34	STU	SAS
HG03744	HG03744	ieu-b-4815	Body	SAS	70.9928	STU	SAS
HG03745	HG03745	ieu-b-4815	Body	SAS	1131.67	STU	SAS
HG03746	HG03746	ieu-b-4815	Body	SAS	1335.98	STU	SAS
HG03750	HG03750	ieu-b-4815	Body	SAS	187.646	STU	SAS
HG03752	HG03752	ieu-b-4815	Body	SAS	-188.858	STU	SAS
HG03753	HG03753	ieu-b-4815	Body	SAS	89.3465	STU	SAS
HG03754	HG03754	ieu-b-4815	Body	SAS	430.49	STU	SAS
HG03755	HG03755	ieu-b-4815	Body	SAS	348.083	STU	SAS
HG03756	HG03756	ieu-b-4815	Body	SAS	1319.96	STU	SAS
HG03757	HG03757	ieu-b-4815	Body	SAS	179.808	STU	SAS
HG03760	HG03760	ieu-b-4815	Body	SAS	617.297	STU	SAS
HG03762	HG03762	ieu-b-4815	Body	SAS	879.208	PJL	SAS
HG03765	HG03765	ieu-b-4815	Body	SAS	631.966	PJL	SAS
HG03767	HG03767	ieu-b-4815	Body	SAS	-240.886	PJL	SAS
HG03770	HG03770	ieu-b-4815	Body	SAS	917.564	ITU	SAS
HG03771	HG03771	ieu-b-4815	Body	SAS	625.396	ITU	SAS
HG03772	HG03772	ieu-b-4815	Body	SAS	414.002	ITU	SAS
HG03773	HG03773	ieu-b-4815	Body	SAS	635.417	ITU	SAS
HG03774	HG03774	ieu-b-4815	Body	SAS	748.704	ITU	SAS
HG03775	HG03775	ieu-b-4815	Body	SAS	969.09	ITU	SAS
HG03777	HG03777	ieu-b-4815	Body	SAS	1087.94	ITU	SAS
HG03778	HG03778	ieu-b-4815	Body	SAS	1266.43	ITU	SAS
HG03779	HG03779	ieu-b-4815	Body	SAS	-189.992	ITU	SAS
HG03780	HG03780	ieu-b-4815	Body	SAS	1779.57	ITU	SAS
HG03781	HG03781	ieu-b-4815	Body	SAS	900.857	ITU	SAS
HG03782	HG03782	ieu-b-4815	Body	SAS	618.538	ITU	SAS
HG03784	HG03784	ieu-b-4815	Body	SAS	1208.55	ITU	SAS
HG03785	HG03785	ieu-b-4815	Body	SAS	398.535	ITU	SAS
HG03786	HG03786	ieu-b-4815	Body	SAS	743.078	ITU	SAS
HG03787	HG03787	ieu-b-4815	Body	SAS	-42.4168	ITU	SAS
HG03788	HG03788	ieu-b-4815	Body	SAS	197.291	ITU	SAS
HG03789	HG03789	ieu-b-4815	Body	SAS	-674.333	ITU	SAS
HG03790	HG03790	ieu-b-4815	Body	SAS	800.984	ITU	SAS
HG03792	HG03792	ieu-b-4815	Body	SAS	93.0724	ITU	SAS
HG03793	HG03793	ieu-b-4815	Body	SAS	872.184	BEB	SAS
HG03796	HG03796	ieu-b-4815	Body	SAS	-457.522	BEB	SAS
HG03800	HG03800	ieu-b-4815	Body	SAS	15.7375	BEB	SAS
HG03802	HG03802	ieu-b-4815	Body	SAS	1413.63	BEB	SAS
HG03803	HG03803	ieu-b-4815	Body	SAS	520.939	BEB	SAS
HG03805	HG03805	ieu-b-4815	Body	SAS	1365.5	BEB	SAS
HG03808	HG03808	ieu-b-4815	Body	SAS	257.397	BEB	SAS
HG03809	HG03809	ieu-b-4815	Body	SAS	286.951	BEB	SAS
HG03812	HG03812	ieu-b-4815	Body	SAS	102.944	BEB	SAS
HG03814	HG03814	ieu-b-4815	Body	SAS	1600.27	BEB	SAS
HG03815	HG03815	ieu-b-4815	Body	SAS	-280.907	BEB	SAS
HG03817	HG03817	ieu-b-4815	Body	SAS	-85.1612	BEB	SAS
HG03821	HG03821	ieu-b-4815	Body	SAS	195.973	BEB	SAS
HG03823	HG03823	ieu-b-4815	Body	SAS	983.15	BEB	SAS
HG03824	HG03824	ieu-b-4815	Body	SAS	49.0314	BEB	SAS
HG03826	HG03826	ieu-b-4815	Body	SAS	561.314	BEB	SAS
HG03829	HG03829	ieu-b-4815	Body	SAS	1131.57	BEB	SAS
HG03830	HG03830	ieu-b-4815	Body	SAS	851.36	BEB	SAS
HG03832	HG03832	ieu-b-4815	Body	SAS	351.68	BEB	SAS
HG03833	HG03833	ieu-b-4815	Body	SAS	574.89	BEB	SAS
HG03836	HG03836	ieu-b-4815	Body	SAS	-861.807	STU	SAS
HG03837	HG03837	ieu-b-4815	Body	SAS	-200.32	STU	SAS
HG03838	HG03838	ieu-b-4815	Body	SAS	769.447	STU	SAS
HG03844	HG03844	ieu-b-4815	Body	SAS	173.383	STU	SAS
HG03846	HG03846	ieu-b-4815	Body	SAS	844.351	STU	SAS
HG03848	HG03848	ieu-b-4815	Body	SAS	-243.093	STU	SAS
HG03849	HG03849	ieu-b-4815	Body	SAS	406.704	STU	SAS
HG03850	HG03850	ieu-b-4815	Body	SAS	1360.29	STU	SAS
HG03851	HG03851	ieu-b-4815	Body	SAS	840.73	STU	SAS
HG03854	HG03854	ieu-b-4815	Body	SAS	118.245	STU	SAS
HG03856	HG03856	ieu-b-4815	Body	SAS	1049.07	STU	SAS
HG03857	HG03857	ieu-b-4815	Body	SAS	177.569	STU	SAS
HG03858	HG03858	ieu-b-4815	Body	SAS	138.762	STU	SAS
HG03861	HG03861	ieu-b-4815	Body	SAS	1242.11	ITU	SAS
HG03862	HG03862	ieu-b-4815	Body	SAS	1117.57	ITU	SAS
HG03863	HG03863	ieu-b-4815	Body	SAS	567.688	ITU	SAS
HG03864	HG03864	ieu-b-4815	Body	SAS	100.114	ITU	SAS
HG03866	HG03866	ieu-b-4815	Body	SAS	857.154	ITU	SAS
HG03867	HG03867	ieu-b-4815	Body	SAS	788.66	ITU	SAS
HG03868	HG03868	ieu-b-4815	Body	SAS	769.176	ITU	SAS
HG03869	HG03869	ieu-b-4815	Body	SAS	1214.48	ITU	SAS
HG03870	HG03870	ieu-b-4815	Body	SAS	593.796	ITU	SAS
HG03871	HG03871	ieu-b-4815	Body	SAS	431.817	ITU	SAS
HG03872	HG03872	ieu-b-4815	Body	SAS	166.815	ITU	SAS
HG03873	HG03873	ieu-b-4815	Body	SAS	1020.32	ITU	SAS
HG03874	HG03874	ieu-b-4815	Body	SAS	866.539	ITU	SAS
HG03875	HG03875	ieu-b-4815	Body	SAS	554.742	ITU	SAS
HG03882	HG03882	ieu-b-4815	Body	SAS	1646.09	ITU	SAS
HG03884	HG03884	ieu-b-4815	Body	SAS	-134.668	STU	SAS
HG03885	HG03885	ieu-b-4815	Body	SAS	1162.27	STU	SAS
HG03886	HG03886	ieu-b-4815	Body	SAS	420.975	STU	SAS
HG03887	HG03887	ieu-b-4815	Body	SAS	1244.2	STU	SAS
HG03888	HG03888	ieu-b-4815	Body	SAS	1180.85	STU	SAS
HG03890	HG03890	ieu-b-4815	Body	SAS	468.977	STU	SAS
HG03894	HG03894	ieu-b-4815	Body	SAS	448.222	STU	SAS
HG03895	HG03895	ieu-b-4815	Body	SAS	734.169	STU	SAS
HG03896	HG03896	ieu-b-4815	Body	SAS	1560.88	STU	SAS
HG03897	HG03897	ieu-b-4815	Body	SAS	782.964	STU	SAS
HG03898	HG03898	ieu-b-4815	Body	SAS	801.473	STU	SAS
HG03899	HG03899	ieu-b-4815	Body	SAS	899.942	STU	SAS
HG03900	HG03900	ieu-b-4815	Body	SAS	979.227	STU	SAS
HG03902	HG03902	ieu-b-4815	Body	SAS	985.904	BEB	SAS
HG03905	HG03905	ieu-b-4815	Body	SAS	688.561	BEB	SAS
HG03907	HG03907	ieu-b-4815	Body	SAS	961.577	BEB	SAS
HG03908	HG03908	ieu-b-4815	Body	SAS	629.614	BEB	SAS
HG03910	HG03910	ieu-b-4815	Body	SAS	502.166	BEB	SAS
HG03911	HG03911	ieu-b-4815	Body	SAS	357.072	BEB	SAS
HG03913	HG03913	ieu-b-4815	Body	SAS	762.981	BEB	SAS
HG03914	HG03914	ieu-b-4815	Body	SAS	148.854	BEB	SAS
HG03916	HG03916	ieu-b-4815	Body	SAS	346.82	BEB	SAS
HG03917	HG03917	ieu-b-4815	Body	SAS	205.076	BEB	SAS
HG03919	HG03919	ieu-b-4815	Body	SAS	376.489	BEB	SAS
HG03920	HG03920	ieu-b-4815	Body	SAS	1028.52	BEB	SAS
HG03922	HG03922	ieu-b-4815	Body	SAS	744.35	BEB	SAS
HG03925	HG03925	ieu-b-4815	Body	SAS	43.31	BEB	SAS
HG03926	HG03926	ieu-b-4815	Body	SAS	836.805	BEB	SAS
HG03928	HG03928	ieu-b-4815	Body	SAS	912.884	BEB	SAS
HG03931	HG03931	ieu-b-4815	Body	SAS	451.078	BEB	SAS
HG03934	HG03934	ieu-b-4815	Body	SAS	570.911	BEB	SAS
HG03937	HG03937	ieu-b-4815	Body	SAS	368.258	BEB	SAS
HG03940	HG03940	ieu-b-4815	Body	SAS	381.167	BEB	SAS
