FID	IID	Trait	Pop	PGS
HG02813	HG02813	ieu-b-4813	AFR	-419.839
HG02814	HG02814	ieu-b-4813	AFR	-126.766
HG02816	HG02816	ieu-b-4813	AFR	57.1371
HG02817	HG02817	ieu-b-4813	AFR	510.014
HG02819	HG02819	ieu-b-4813	AFR	721.879
HG02820	HG02820	ieu-b-4813	AFR	-109.89
HG02836	HG02836	ieu-b-4813	AFR	-147.447
HG02837	HG02837	ieu-b-4813	AFR	1099.92
HG02839	HG02839	ieu-b-4813	AFR	-446.505
HG02840	HG02840	ieu-b-4813	AFR	46.8799
HG02851	HG02851	ieu-b-4813	AFR	-516.055
HG02852	HG02852	ieu-b-4813	AFR	58.0949
HG02854	HG02854	ieu-b-4813	AFR	-992.551
HG02855	HG02855	ieu-b-4813	AFR	311.836
HG02860	HG02860	ieu-b-4813	AFR	237.554
HG02861	HG02861	ieu-b-4813	AFR	-203.477
HG02870	HG02870	ieu-b-4813	AFR	186.65
HG02878	HG02878	ieu-b-4813	AFR	-59.9801
HG02879	HG02879	ieu-b-4813	AFR	197.02
HG02881	HG02881	ieu-b-4813	AFR	712.768
HG02882	HG02882	ieu-b-4813	AFR	-890.033
HG02884	HG02884	ieu-b-4813	AFR	-264.161
HG02885	HG02885	ieu-b-4813	AFR	514.725
HG02887	HG02887	ieu-b-4813	AFR	-763.894
HG02888	HG02888	ieu-b-4813	AFR	-666.274
HG02890	HG02890	ieu-b-4813	AFR	-197.027
HG02891	HG02891	ieu-b-4813	AFR	237.978
HG02895	HG02895	ieu-b-4813	AFR	1.97422
HG02896	HG02896	ieu-b-4813	AFR	-84.1728
HG02922	HG02922	ieu-b-4813	AFR	392.543
HG02923	HG02923	ieu-b-4813	AFR	601.909
HG02938	HG02938	ieu-b-4813	AFR	33.2731
HG02941	HG02941	ieu-b-4813	AFR	-492.445
HG02943	HG02943	ieu-b-4813	AFR	407.013
HG02944	HG02944	ieu-b-4813	AFR	-125.27
HG02946	HG02946	ieu-b-4813	AFR	616.301
HG02947	HG02947	ieu-b-4813	AFR	-1011.55
HG02952	HG02952	ieu-b-4813	AFR	173.018
HG02953	HG02953	ieu-b-4813	AFR	-215.193
HG02968	HG02968	ieu-b-4813	AFR	-362.295
HG02970	HG02970	ieu-b-4813	AFR	934.869
HG02971	HG02971	ieu-b-4813	AFR	816.424
HG02973	HG02973	ieu-b-4813	AFR	516.499
HG02974	HG02974	ieu-b-4813	AFR	-510.164
HG02976	HG02976	ieu-b-4813	AFR	573.01
HG02977	HG02977	ieu-b-4813	AFR	450.223
HG02979	HG02979	ieu-b-4813	AFR	-77.1624
HG02981	HG02981	ieu-b-4813	AFR	1118.69
HG02982	HG02982	ieu-b-4813	AFR	-300.33
HG02983	HG02983	ieu-b-4813	AFR	-697.074
HG03024	HG03024	ieu-b-4813	AFR	80.4707
HG03025	HG03025	ieu-b-4813	AFR	-406.992
HG03027	HG03027	ieu-b-4813	AFR	-533.771
HG03028	HG03028	ieu-b-4813	AFR	-387.262
HG03039	HG03039	ieu-b-4813	AFR	-512.579
HG03040	HG03040	ieu-b-4813	AFR	-834.92
HG03045	HG03045	ieu-b-4813	AFR	452.578
HG03046	HG03046	ieu-b-4813	AFR	659.633
HG03048	HG03048	ieu-b-4813	AFR	21.9059
HG03049	HG03049	ieu-b-4813	AFR	376.165
HG03052	HG03052	ieu-b-4813	AFR	-1001.21
HG03054	HG03054	ieu-b-4813	AFR	-395.439
HG03055	HG03055	ieu-b-4813	AFR	628.881
HG03057	HG03057	ieu-b-4813	AFR	-123.909
HG03058	HG03058	ieu-b-4813	AFR	-1055.68
HG03060	HG03060	ieu-b-4813	AFR	-221.88
HG03061	HG03061	ieu-b-4813	AFR	-190.998
HG03063	HG03063	ieu-b-4813	AFR	-1046.81
HG03064	HG03064	ieu-b-4813	AFR	275.195
HG03066	HG03066	ieu-b-4813	AFR	372.922
HG03069	HG03069	ieu-b-4813	AFR	-587.542
HG03072	HG03072	ieu-b-4813	AFR	-455.271
HG03073	HG03073	ieu-b-4813	AFR	320.116
HG03074	HG03074	ieu-b-4813	AFR	153.266
HG03077	HG03077	ieu-b-4813	AFR	-510.09
HG03078	HG03078	ieu-b-4813	AFR	750.054
HG03079	HG03079	ieu-b-4813	AFR	-402.641
HG03081	HG03081	ieu-b-4813	AFR	584.877
HG03082	HG03082	ieu-b-4813	AFR	119.321
HG03084	HG03084	ieu-b-4813	AFR	369.454
HG03085	HG03085	ieu-b-4813	AFR	-448.686
HG03086	HG03086	ieu-b-4813	AFR	-186.524
HG03088	HG03088	ieu-b-4813	AFR	96.3031
HG03091	HG03091	ieu-b-4813	AFR	463.083
HG03095	HG03095	ieu-b-4813	AFR	225.074
HG03096	HG03096	ieu-b-4813	AFR	-164.815
HG03097	HG03097	ieu-b-4813	AFR	-235.407
HG03099	HG03099	ieu-b-4813	AFR	-234.076
HG03100	HG03100	ieu-b-4813	AFR	564.227
HG03103	HG03103	ieu-b-4813	AFR	378.649
HG03105	HG03105	ieu-b-4813	AFR	353.733
HG03108	HG03108	ieu-b-4813	AFR	599.855
HG03109	HG03109	ieu-b-4813	AFR	127.29
HG03111	HG03111	ieu-b-4813	AFR	-1122.38
HG03112	HG03112	ieu-b-4813	AFR	39.4428
HG03114	HG03114	ieu-b-4813	AFR	370.411
HG03115	HG03115	ieu-b-4813	AFR	7.45776
HG03117	HG03117	ieu-b-4813	AFR	-664.452
HG03118	HG03118	ieu-b-4813	AFR	95.2295
HG03120	HG03120	ieu-b-4813	AFR	1159.1
HG03121	HG03121	ieu-b-4813	AFR	-385.003
HG03123	HG03123	ieu-b-4813	AFR	-272.949
HG03124	HG03124	ieu-b-4813	AFR	-1006.6
HG03126	HG03126	ieu-b-4813	AFR	79.8468
HG03127	HG03127	ieu-b-4813	AFR	-768.945
HG03129	HG03129	ieu-b-4813	AFR	263.487
HG03130	HG03130	ieu-b-4813	AFR	818.539
