FID	IID	Trait	Pop	PGS		
HG02943	HG02943	ieu-b-4813	AFR	407.013	ESN	AFR
HG02944	HG02944	ieu-b-4813	AFR	-125.27	ESN	AFR
HG02946	HG02946	ieu-b-4813	AFR	616.301	ESN	AFR
HG02947	HG02947	ieu-b-4813	AFR	-1011.55	ESN	AFR
HG02952	HG02952	ieu-b-4813	AFR	173.018	ESN	AFR
HG02953	HG02953	ieu-b-4813	AFR	-215.193	ESN	AFR
HG02968	HG02968	ieu-b-4813	AFR	-362.295	ESN	AFR
HG02970	HG02970	ieu-b-4813	AFR	934.869	ESN	AFR
HG02971	HG02971	ieu-b-4813	AFR	816.424	ESN	AFR
HG02973	HG02973	ieu-b-4813	AFR	516.499	ESN	AFR
HG02974	HG02974	ieu-b-4813	AFR	-510.164	ESN	AFR
HG02976	HG02976	ieu-b-4813	AFR	573.01	ESN	AFR
HG02977	HG02977	ieu-b-4813	AFR	450.223	ESN	AFR
HG02979	HG02979	ieu-b-4813	AFR	-77.1624	ESN	AFR
HG02981	HG02981	ieu-b-4813	AFR	1118.69	ESN	AFR
HG02982	HG02982	ieu-b-4813	AFR	-300.33	GWD	AFR
HG02983	HG02983	ieu-b-4813	AFR	-697.074	GWD	AFR
HG03024	HG03024	ieu-b-4813	AFR	80.4707	GWD	AFR
HG03025	HG03025	ieu-b-4813	AFR	-406.992	GWD	AFR
HG03027	HG03027	ieu-b-4813	AFR	-533.771	GWD	AFR
HG03028	HG03028	ieu-b-4813	AFR	-387.262	GWD	AFR
HG03039	HG03039	ieu-b-4813	AFR	-512.579	GWD	AFR
HG03040	HG03040	ieu-b-4813	AFR	-834.92	GWD	AFR
HG03045	HG03045	ieu-b-4813	AFR	452.578	GWD	AFR
HG03046	HG03046	ieu-b-4813	AFR	659.633	GWD	AFR
HG03048	HG03048	ieu-b-4813	AFR	21.9059	GWD	AFR
HG03049	HG03049	ieu-b-4813	AFR	376.165	GWD	AFR
HG03052	HG03052	ieu-b-4813	AFR	-1001.21	MSL	AFR
HG03054	HG03054	ieu-b-4813	AFR	-395.439	MSL	AFR
HG03055	HG03055	ieu-b-4813	AFR	628.881	MSL	AFR
HG03057	HG03057	ieu-b-4813	AFR	-123.909	MSL	AFR
HG03058	HG03058	ieu-b-4813	AFR	-1055.68	MSL	AFR
HG03060	HG03060	ieu-b-4813	AFR	-221.88	MSL	AFR
HG03061	HG03061	ieu-b-4813	AFR	-190.998	MSL	AFR
HG03063	HG03063	ieu-b-4813	AFR	-1046.81	MSL	AFR
HG03064	HG03064	ieu-b-4813	AFR	275.195	MSL	AFR
HG03066	HG03066	ieu-b-4813	AFR	372.922	MSL	AFR
HG03069	HG03069	ieu-b-4813	AFR	-587.542	MSL	AFR
HG03072	HG03072	ieu-b-4813	AFR	-455.271	MSL	AFR
HG03073	HG03073	ieu-b-4813	AFR	320.116	MSL	AFR
HG03074	HG03074	ieu-b-4813	AFR	153.266	MSL	AFR
HG03077	HG03077	ieu-b-4813	AFR	-510.09	MSL	AFR
